timestamp,facility,total_consumption_kwh,grid_kwh,solar_kwh,wind_kwh,diesel_kwh,temperature_c,occupancy_percent
2026-03-03 01:50:28.894774,Academic Block A,51.97,31.18,0.0,4.16,1.04,37.2,12.473063796386851
2026-03-03 02:50:28.894774,Academic Block A,55.61,33.37,0.0,4.45,1.11,24.5,6.915970049532916
2026-03-03 03:50:28.894774,Academic Block A,46.89,28.13,0.0,3.75,0.94,35.9,11.78877987510905
2026-03-03 04:50:28.894774,Academic Block A,57.58,34.55,0.0,4.61,1.15,22.3,16.294691183472807
2026-03-03 05:50:28.894774,Academic Block A,60.07,36.04,0.0,4.81,1.2,25.4,9.893835025709526
2026-03-03 06:50:28.894774,Academic Block A,50.5,30.3,0.0,4.04,1.01,26.9,15.816729926598317
2026-03-03 07:50:28.894774,Academic Block A,57.43,24.12,17.23,4.59,1.15,26.7,20.591998773786685
2026-03-03 08:50:28.894774,Academic Block A,57.66,24.22,17.3,4.61,1.15,26.7,23.80218011102903
2026-03-03 09:50:28.894774,Academic Block A,74.92,31.47,22.48,5.99,1.5,34.6,29.72241053666808
2026-03-03 10:50:28.894774,Academic Block A,94.8,39.82,28.44,7.58,1.9,31.5,37.512839451212976
2026-03-03 11:50:28.894774,Academic Block A,124.49,52.29,37.35,9.96,2.49,24.7,48.107662109737134
2026-03-03 12:50:28.894774,Academic Block A,172.76,72.56,51.83,13.82,3.46,37.5,65.92274562039512
2026-03-03 13:50:28.894774,Academic Block A,172.95,72.64,51.89,13.84,3.46,23.6,73.61711344604325
2026-03-03 14:50:28.894774,Academic Block A,203.52,85.48,61.06,16.28,4.07,24.0,77.79809551445679
2026-03-03 15:50:28.894774,Academic Block A,185.83,78.05,55.75,14.87,3.72,36.5,77.58779981600017
2026-03-03 16:50:28.894774,Academic Block A,217.35,91.29,65.21,17.39,4.35,27.0,78.0470066251222
2026-03-03 17:50:28.894774,Academic Block A,186.29,78.24,55.89,14.9,3.73,25.0,76.47062945856726
2026-03-03 18:50:28.894774,Academic Block A,164.83,69.23,49.45,13.19,3.3,37.0,66.787045643507
2026-03-03 19:50:28.894774,Academic Block A,124.14,52.14,37.24,9.93,2.48,36.7,48.34207120040354
2026-03-03 20:50:28.894774,Academic Block A,85.79,51.47,0.0,6.86,1.72,22.7,40.30163863164564
2026-03-03 21:50:28.894774,Academic Block A,73.39,44.03,0.0,5.87,1.47,26.3,36.01304780660378
2026-03-03 22:50:28.894774,Academic Block A,61.87,37.12,0.0,4.95,1.24,26.5,25.565522509674594
2026-03-03 23:50:28.894774,Academic Block A,52.31,31.39,0.0,4.18,1.05,34.8,15.218976263360597
2026-03-04 00:50:28.894774,Academic Block A,63.95,38.37,0.0,5.12,1.28,34.4,12.556322425617662
2026-03-04 01:50:28.894774,Academic Block A,45.99,27.6,0.0,3.68,0.92,35.0,12.221697816748973
2026-03-04 02:50:28.894774,Academic Block A,57.72,34.63,0.0,4.62,1.15,34.3,6.096471363511792
2026-03-04 03:50:28.894774,Academic Block A,51.76,31.06,0.0,4.14,1.04,23.9,14.408664016432898
2026-03-04 04:50:28.894774,Academic Block A,56.2,33.72,0.0,4.5,1.12,27.3,7.2311761647131005
2026-03-04 05:50:28.894774,Academic Block A,51.53,30.92,0.0,4.12,1.03,27.2,15.37164713701916
2026-03-04 06:50:28.894774,Academic Block A,58.1,34.86,0.0,4.65,1.16,36.2,15.291314861895431
2026-03-04 07:50:28.894774,Academic Block A,51.94,21.81,15.58,4.15,1.04,33.4,22.08132031273186
2026-03-04 08:50:28.894774,Academic Block A,65.84,27.65,19.75,5.27,1.32,34.3,25.076517641736018
2026-03-04 09:50:28.894774,Academic Block A,76.44,32.11,22.93,6.12,1.53,28.8,27.979863982525433
2026-03-04 10:50:28.894774,Academic Block A,83.29,34.98,24.99,6.66,1.67,22.5,43.4124394366508
2026-03-04 11:50:28.894774,Academic Block A,113.88,47.83,34.17,9.11,2.28,30.1,56.53281091914527
2026-03-04 12:50:28.894774,Academic Block A,140.81,59.14,42.24,11.26,2.82,28.6,65.394283524661
2026-03-04 13:50:28.894774,Academic Block A,168.77,70.88,50.63,13.5,3.38,23.2,69.67229771005935
2026-03-04 14:50:28.894774,Academic Block A,186.18,78.2,55.85,14.89,3.72,36.9,80.92753020898826
2026-03-04 15:50:28.894774,Academic Block A,224.64,94.35,67.39,17.97,4.49,35.9,83.03672076899115
2026-03-04 16:50:28.894774,Academic Block A,187.76,78.86,56.33,15.02,3.76,36.3,78.2397488325006
2026-03-04 17:50:28.894774,Academic Block A,200.66,84.28,60.2,16.05,4.01,36.3,69.95481793064032
2026-03-04 18:50:28.894774,Academic Block A,134.45,56.47,40.33,10.76,2.69,25.6,62.109850025493074
2026-03-04 19:50:28.894774,Academic Block A,132.11,55.48,39.63,10.57,2.64,35.8,47.52666748519625
2026-03-04 20:50:28.894774,Academic Block A,94.7,56.82,0.0,7.58,1.89,28.7,39.2694134287203
2026-03-04 21:50:28.894774,Academic Block A,67.27,40.36,0.0,5.38,1.35,27.4,37.154769754209674
2026-03-04 22:50:28.894774,Academic Block A,61.22,36.73,0.0,4.9,1.22,30.3,27.168751267043888
2026-03-04 23:50:28.894774,Academic Block A,56.23,33.74,0.0,4.5,1.12,37.5,24.097942775984002
2026-03-05 00:50:28.894774,Academic Block A,51.64,30.99,0.0,4.13,1.03,30.0,13.577948708443635
2026-03-05 01:50:28.894774,Academic Block A,50.52,30.31,0.0,4.04,1.01,22.6,11.24876771807177
2026-03-05 02:50:28.894774,Academic Block A,54.06,32.43,0.0,4.32,1.08,22.8,8.142489488537004
2026-03-05 03:50:28.894774,Academic Block A,60.67,36.4,0.0,4.85,1.21,25.8,7.226578478589192
2026-03-05 04:50:28.894774,Academic Block A,54.02,32.41,0.0,4.32,1.08,37.8,9.016145376967868
2026-03-05 05:50:28.894774,Academic Block A,57.45,34.47,0.0,4.6,1.15,34.2,10.451960793562517
2026-03-05 06:50:28.894774,Academic Block A,59.62,35.77,0.0,4.77,1.19,27.9,16.892223916211734
2026-03-05 07:50:28.894774,Academic Block A,60.98,25.61,18.29,4.88,1.22,30.6,15.376367527106972
2026-03-05 08:50:28.894774,Academic Block A,71.15,29.88,21.35,5.69,1.42,27.1,22.003746782090655
2026-03-05 09:50:28.894774,Academic Block A,65.46,27.5,19.64,5.24,1.31,31.5,34.501316333507305
2026-03-05 10:50:28.894774,Academic Block A,80.71,33.9,24.21,6.46,1.61,30.2,39.31329307599238
2026-03-05 11:50:28.894774,Academic Block A,125.85,52.86,37.76,10.07,2.52,24.8,54.366523560909
2026-03-05 12:50:28.894774,Academic Block A,147.08,61.78,44.13,11.77,2.94,37.0,59.213981580690444
2026-03-05 13:50:28.894774,Academic Block A,174.96,73.48,52.49,14.0,3.5,23.8,76.0217193637073
2026-03-05 14:50:28.894774,Academic Block A,230.71,96.9,69.21,18.46,4.61,26.1,79.44616687368588
2026-03-05 15:50:28.894774,Academic Block A,236.56,99.35,70.97,18.92,4.73,30.9,80.29650578356006
2026-03-05 16:50:28.894774,Academic Block A,191.2,80.3,57.36,15.3,3.82,23.5,81.81848399287736
2026-03-05 17:50:28.894774,Academic Block A,205.79,86.43,61.74,16.46,4.12,32.1,70.1650810914087
2026-03-05 18:50:28.894774,Academic Block A,145.37,61.06,43.61,11.63,2.91,33.6,66.80987473875629
2026-03-05 19:50:28.894774,Academic Block A,134.61,56.53,40.38,10.77,2.69,34.5,53.877462641427215
2026-03-05 20:50:28.894774,Academic Block A,82.62,49.57,0.0,6.61,1.65,24.6,46.03387720928379
2026-03-05 21:50:28.894774,Academic Block A,78.35,47.01,0.0,6.27,1.57,22.1,28.740388143744802
2026-03-05 22:50:28.894774,Academic Block A,67.82,40.69,0.0,5.43,1.36,22.1,21.746642192267096
2026-03-05 23:50:28.894774,Academic Block A,59.48,35.69,0.0,4.76,1.19,33.1,20.993082421588895
2026-03-06 00:50:28.894774,Academic Block A,51.18,30.71,0.0,4.09,1.02,33.4,12.94165648524394
2026-03-06 01:50:28.894774,Academic Block A,51.17,30.7,0.0,4.09,1.02,33.9,11.649453368744949
2026-03-06 02:50:28.894774,Academic Block A,59.67,35.8,0.0,4.77,1.19,32.5,11.039110879525605
2026-03-06 03:50:28.894774,Academic Block A,47.47,28.48,0.0,3.8,0.95,27.9,8.429653434494217
2026-03-06 04:50:28.894774,Academic Block A,50.03,30.02,0.0,4.0,1.0,37.6,10.526569908520468
2026-03-06 05:50:28.894774,Academic Block A,61.05,36.63,0.0,4.88,1.22,32.1,16.023698389055003
2026-03-06 06:50:28.894774,Academic Block A,55.84,33.51,0.0,4.47,1.12,31.2,15.494342548464576
2026-03-06 07:50:28.894774,Academic Block A,53.27,22.37,15.98,4.26,1.07,33.6,17.281193450971447
2026-03-06 08:50:28.894774,Academic Block A,55.42,23.28,16.63,4.43,1.11,32.3,21.9096684721626
2026-03-06 09:50:28.894774,Academic Block A,85.96,36.1,25.79,6.88,1.72,37.3,36.87431661728897
2026-03-06 10:50:28.894774,Academic Block A,90.72,38.1,27.22,7.26,1.81,22.2,46.33152094989025
2026-03-06 11:50:28.894774,Academic Block A,118.0,49.56,35.4,9.44,2.36,37.5,57.093345950776865
2026-03-06 12:50:28.894774,Academic Block A,168.38,70.72,50.51,13.47,3.37,26.7,61.689749425249765
2026-03-06 13:50:28.894774,Academic Block A,203.07,85.29,60.92,16.25,4.06,27.1,68.4697106477826
2026-03-06 14:50:28.894774,Academic Block A,210.78,88.53,63.23,16.86,4.22,37.0,79.80662438009382
2026-03-06 15:50:28.894774,Academic Block A,220.54,92.63,66.16,17.64,4.41,23.6,81.1500722669917
2026-03-06 16:50:28.894774,Academic Block A,237.71,99.84,71.31,19.02,4.75,24.2,78.02962293698145
2026-03-06 17:50:28.894774,Academic Block A,204.52,85.9,61.36,16.36,4.09,33.9,73.74494059087436
2026-03-06 18:50:28.894774,Academic Block A,161.51,67.83,48.45,12.92,3.23,27.8,60.77469058187545
2026-03-06 19:50:28.894774,Academic Block A,131.79,55.35,39.54,10.54,2.64,35.0,56.12786936568538
2026-03-06 20:50:28.894774,Academic Block A,106.1,63.66,0.0,8.49,2.12,30.2,42.06349827088499
2026-03-06 21:50:28.894774,Academic Block A,82.72,49.63,0.0,6.62,1.65,32.4,34.74534148766152
2026-03-06 22:50:28.894774,Academic Block A,70.38,42.23,0.0,5.63,1.41,36.2,23.51851324660747
2026-03-06 23:50:28.894774,Academic Block A,56.44,33.86,0.0,4.52,1.13,23.5,20.25627123652463
2026-03-07 00:50:28.894774,Academic Block A,48.03,28.82,0.0,3.84,0.96,29.4,15.995611957351704
2026-03-07 01:50:28.894774,Academic Block A,30.33,18.2,0.0,2.43,0.61,31.5,5.348752321754152
2026-03-07 02:50:28.894774,Academic Block A,27.91,16.75,0.0,2.23,0.56,35.2,8.703627798732883
2026-03-07 03:50:28.894774,Academic Block A,28.8,17.28,0.0,2.3,0.58,30.4,12.922115461750954
2026-03-07 04:50:28.894774,Academic Block A,29.74,17.85,0.0,2.38,0.59,32.0,6.309358267609927
2026-03-07 05:50:28.894774,Academic Block A,28.37,17.02,0.0,2.27,0.57,30.5,11.285089888569214
2026-03-07 06:50:28.894774,Academic Block A,34.86,20.92,0.0,2.79,0.7,33.6,16.3497109689899
2026-03-07 07:50:28.894774,Academic Block A,35.35,14.85,10.6,2.83,0.71,27.2,15.65856761241929
2026-03-07 08:50:28.894774,Academic Block A,36.12,15.17,10.84,2.89,0.72,29.0,10.109867150020406
2026-03-07 09:50:28.894774,Academic Block A,39.07,16.41,11.72,3.13,0.78,37.4,19.852850552289055
2026-03-07 10:50:28.894774,Academic Block A,59.97,25.19,17.99,4.8,1.2,28.5,15.889610436140742
2026-03-07 11:50:28.894774,Academic Block A,64.9,27.26,19.47,5.19,1.3,26.0,22.62287984131387
2026-03-07 12:50:28.894774,Academic Block A,97.24,40.84,29.17,7.78,1.94,32.6,22.896131009239575
2026-03-07 13:50:28.894774,Academic Block A,125.27,52.62,37.58,10.02,2.51,33.8,28.193478576805916
2026-03-07 14:50:28.894774,Academic Block A,128.51,53.98,38.55,10.28,2.57,28.7,26.86197458453846
2026-03-07 15:50:28.894774,Academic Block A,124.0,52.08,37.2,9.92,2.48,34.1,25.143934886297558
2026-03-07 16:50:28.894774,Academic Block A,110.03,46.21,33.01,8.8,2.2,22.7,24.791952712716583
2026-03-07 17:50:28.894774,Academic Block A,121.99,51.23,36.6,9.76,2.44,33.3,27.391676342565162
2026-03-07 18:50:28.894774,Academic Block A,80.33,33.74,24.1,6.43,1.61,29.9,24.831509747585805
2026-03-07 19:50:28.894774,Academic Block A,65.27,27.41,19.58,5.22,1.31,28.9,21.1156605382264
2026-03-07 20:50:28.894774,Academic Block A,58.61,35.16,0.0,4.69,1.17,32.2,14.60970733315273
2026-03-07 21:50:28.894774,Academic Block A,43.84,26.3,0.0,3.51,0.88,32.0,16.524411932967872
2026-03-07 22:50:28.894774,Academic Block A,42.94,25.76,0.0,3.43,0.86,32.5,10.954647607412042
2026-03-07 23:50:28.894774,Academic Block A,30.64,18.39,0.0,2.45,0.61,32.3,7.971818770148472
2026-03-08 00:50:28.894774,Academic Block A,34.34,20.6,0.0,2.75,0.69,37.0,12.345931953123344
2026-03-08 01:50:28.894774,Academic Block A,31.31,18.79,0.0,2.51,0.63,32.3,9.626278727278825
2026-03-08 02:50:28.894774,Academic Block A,32.85,19.71,0.0,2.63,0.66,37.1,8.962747762627997
2026-03-08 03:50:28.894774,Academic Block A,36.92,22.15,0.0,2.95,0.74,36.5,7.180091278657811
2026-03-08 04:50:28.894774,Academic Block A,28.32,16.99,0.0,2.27,0.57,23.6,5.638101874187744
2026-03-08 05:50:28.894774,Academic Block A,28.79,17.27,0.0,2.3,0.58,32.9,6.590625157070438
2026-03-08 06:50:28.894774,Academic Block A,31.66,19.0,0.0,2.53,0.63,35.5,6.823909531722813
2026-03-08 07:50:28.894774,Academic Block A,38.5,16.17,11.55,3.08,0.77,26.5,8.888353940948816
2026-03-08 08:50:28.894774,Academic Block A,41.08,17.25,12.32,3.29,0.82,32.1,18.100023471868276
2026-03-08 09:50:28.894774,Academic Block A,48.77,20.48,14.63,3.9,0.98,34.9,14.31339507288006
2026-03-08 10:50:28.894774,Academic Block A,51.16,21.49,15.35,4.09,1.02,34.0,22.225014628104926
2026-03-08 11:50:28.894774,Academic Block A,83.01,34.86,24.9,6.64,1.66,28.6,20.8507940521805
2026-03-08 12:50:28.894774,Academic Block A,98.93,41.55,29.68,7.91,1.98,27.5,29.404365295815794
2026-03-08 13:50:28.894774,Academic Block A,122.08,51.28,36.63,9.77,2.44,28.9,30.15864872960688
2026-03-08 14:50:28.894774,Academic Block A,133.84,56.21,40.15,10.71,2.68,23.6,33.41019375632255
2026-03-08 15:50:28.894774,Academic Block A,129.8,54.52,38.94,10.38,2.6,35.2,28.200496010306118
2026-03-08 16:50:28.894774,Academic Block A,139.1,58.42,41.73,11.13,2.78,28.2,24.493041204329867
2026-03-08 17:50:28.894774,Academic Block A,123.64,51.93,37.09,9.89,2.47,23.5,25.843074427596058
2026-03-08 18:50:28.894774,Academic Block A,103.69,43.55,31.11,8.3,2.07,37.2,25.83117092101301
2026-03-08 19:50:28.894774,Academic Block A,75.22,31.59,22.57,6.02,1.5,29.2,20.062720911233313
2026-03-08 20:50:28.894774,Academic Block A,53.73,32.24,0.0,4.3,1.07,32.8,21.680412529809086
2026-03-08 21:50:28.894774,Academic Block A,49.54,29.72,0.0,3.96,0.99,34.6,12.405110377653898
2026-03-08 22:50:28.894774,Academic Block A,38.72,23.23,0.0,3.1,0.77,22.9,14.820592159835101
2026-03-08 23:50:28.894774,Academic Block A,34.56,20.74,0.0,2.76,0.69,36.2,11.215855790253041
2026-03-09 00:50:28.894774,Academic Block A,29.63,17.78,0.0,2.37,0.59,24.3,14.206296491539277
2026-03-09 01:50:28.894774,Academic Block A,55.92,33.55,0.0,4.47,1.12,23.6,5.9941924394227755
2026-03-09 02:50:28.894774,Academic Block A,57.27,34.36,0.0,4.58,1.15,23.2,13.574625439074453
2026-03-09 03:50:28.894774,Academic Block A,57.4,34.44,0.0,4.59,1.15,23.3,6.626006898528881
2026-03-09 04:50:28.894774,Academic Block A,62.11,37.26,0.0,4.97,1.24,28.0,10.302014132521773
2026-03-09 05:50:28.894774,Academic Block A,59.75,35.85,0.0,4.78,1.2,37.2,17.935595991867228
2026-03-09 06:50:28.894774,Academic Block A,60.04,36.02,0.0,4.8,1.2,28.0,11.404172777262627
2026-03-09 07:50:28.894774,Academic Block A,63.5,26.67,19.05,5.08,1.27,30.9,18.715689919032652
2026-03-09 08:50:28.894774,Academic Block A,72.53,30.46,21.76,5.8,1.45,23.8,25.064812721000703
2026-03-09 09:50:28.894774,Academic Block A,64.79,27.21,19.44,5.18,1.3,29.5,28.288705471902855
2026-03-09 10:50:28.894774,Academic Block A,83.6,35.11,25.08,6.69,1.67,23.9,43.540438345173634
2026-03-09 11:50:28.894774,Academic Block A,129.5,54.39,38.85,10.36,2.59,31.3,57.07887166462976
2026-03-09 12:50:28.894774,Academic Block A,146.54,61.55,43.96,11.72,2.93,26.6,66.52476342112512
